trial_number,params,pr_auc_mean,pr_auc_std,training_time,objective_value
0,"{'n_estimators': 218, 'learning_rate': 0.2536999076681772, 'num_leaves': 76, 'max_depth': 9, 'feature_fraction': 0.4936111842654619, 'bagging_fraction': 0.49359671220172163, 'bagging_freq': 1, 'min_data_in_leaf': 88, 'lambda_l1': 6.011150117432088, 'lambda_l2': 7.080725777960454, 'min_split_gain': 0.020584494295802447, 'min_child_weight': 70.72114131472235}",0.5193330601785539,0.008332207376319872,16.054099559783936,0.5193330601785539
1,"{'n_estimators': 425, 'learning_rate': 0.020589728197687916, 'num_leaves': 26, 'max_depth': 2, 'feature_fraction': 0.5825453457757226, 'bagging_fraction': 0.7148538589793427, 'bagging_freq': 5, 'min_data_in_leaf': 32, 'lambda_l1': 6.118528947223795, 'lambda_l2': 1.3949386065204183, 'min_split_gain': 0.29214464853521815, 'min_child_weight': 0.06789053271698488}",0.48240609831607356,0.01813672241799122,8.098054647445679,0.48240609831607356
2,"{'n_estimators': 255, 'learning_rate': 0.14447746112718687, 'num_leaves': 28, 'max_depth': 7, 'feature_fraction': 0.7554487413172255, 'bagging_fraction': 0.42787024763199866, 'bagging_freq': 7, 'min_data_in_leaf': 21, 'lambda_l1': 0.6505159298527952, 'lambda_l2': 9.488855372533333, 'min_split_gain': 0.9656320330745594, 'min_child_weight': 11.015056790269638}",0.5683381488247597,0.007052193873300896,9.531084060668945,0.5683381488247597
3,"{'n_estimators': 187, 'learning_rate': 0.013940346079873234, 'num_leaves': 72, 'max_depth': 6, 'feature_fraction': 0.47322294090686734, 'bagging_fraction': 0.6971061460667621, 'bagging_freq': 1, 'min_data_in_leaf': 92, 'lambda_l1': 2.587799816000169, 'lambda_l2': 6.62522284353982, 'min_split_gain': 0.31171107608941095, 'min_child_weight': 0.39841905944346884}",0.49135205135176946,0.007521691813159599,8.396097421646118,0.49135205135176946
4,"{'n_estimators': 296, 'learning_rate': 0.01875220945578641, 'num_leaves': 98, 'max_depth': 12, 'feature_fraction': 0.9636993649385135, 'bagging_fraction': 0.9368964102565893, 'bagging_freq': 6, 'min_data_in_leaf': 93, 'lambda_l1': 0.884925020519195, 'lambda_l2': 1.959828624191452, 'min_split_gain': 0.045227288910538066, 'min_child_weight': 0.04233032996527596}",0.5876616573265155,0.010464513202976271,24.59880256652832,0.5876616573265155
5,"{'n_estimators': 225, 'learning_rate': 0.02516607127550297, 'num_leaves': 85, 'max_depth': 5, 'feature_fraction': 0.5685607058124285, 'bagging_fraction': 0.7256176498949491, 'bagging_freq': 2, 'min_data_in_leaf': 82, 'lambda_l1': 0.7455064367977082, 'lambda_l2': 9.868869366005173, 'min_split_gain': 0.7722447692966574, 'min_child_weight': 0.009853225172032555}",0.5499492981567546,0.010115925133770598,9.877614259719849,0.5499492981567546
6,"{'n_estimators': 52, 'learning_rate': 0.1601531217136121, 'num_leaves': 74, 'max_depth': 11, 'feature_fraction': 0.8627622080115674, 'bagging_fraction': 0.44442679104045424, 'bagging_freq': 4, 'min_data_in_leaf': 16, 'lambda_l1': 8.631034258755935, 'lambda_l2': 6.232981268275579, 'min_split_gain': 0.3308980248526492, 'min_child_weight': 0.002078699690689777}",0.555294315997105,0.014783556410240645,6.072547435760498,0.555294315997105
7,"{'n_estimators': 190, 'learning_rate': 0.030222834756467344, 'num_leaves': 76, 'max_depth': 9, 'feature_fraction': 0.932327645545796, 'bagging_fraction': 0.6833289550971695, 'bagging_freq': 2, 'min_data_in_leaf': 73, 'lambda_l1': 7.607850486168974, 'lambda_l2': 5.612771975694963, 'min_split_gain': 0.770967179954561, 'min_child_weight': 0.2944272359149679}",0.566541475156086,0.009418141643496724,9.813177108764648,0.566541475156086
8,"{'n_estimators': 285, 'learning_rate': 0.042808491617570936, 'num_leaves': 12, 'max_depth': 0, 'feature_fraction': 0.4188575114120406, 'bagging_fraction': 0.7818462467582683, 'bagging_freq': 4, 'min_data_in_leaf': 53, 'lambda_l1': 9.07566473926093, 'lambda_l2': 2.4929222914887497, 'min_split_gain': 0.41038292303562973, 'min_child_weight': 5.994537656798815}",0.5533863408529475,0.007593916169670233,9.383166313171387,0.5533863408529475
9,"{'n_estimators': 153, 'learning_rate': 0.012992976740520353, 'num_leaves': 36, 'max_depth': 1, 'feature_fraction': 0.9578185914055438, 'bagging_fraction': 0.8848722277386502, 'bagging_freq': 7, 'min_data_in_leaf': 88, 'lambda_l1': 8.036720768991145, 'lambda_l2': 1.8657005888603584, 'min_split_gain': 0.8925589984899778, 'min_child_weight': 0.49740621749684094}",0.2644065644977223,0.02238042015276407,3.9703662395477295,0.2644065644977223
10,"{'n_estimators': 400, 'learning_rate': 0.07840988362074162, 'num_leaves': 98, 'max_depth': 15, 'feature_fraction': 0.7840531014805339, 'bagging_fraction': 0.9445988771695107, 'bagging_freq': 10, 'min_data_in_leaf': 63, 'lambda_l1': 3.347951762232364, 'lambda_l2': 0.12311169564937519, 'min_split_gain': 0.02696260722128842, 'min_child_weight': 0.025634476292111606}",0.6177609335106048,0.012552611687484661,18.294672966003418,0.6177609335106048
11,"{'n_estimators': 381, 'learning_rate': 0.07414289418036682, 'num_leaves': 100, 'max_depth': 15, 'feature_fraction': 0.7873870526681539, 'bagging_fraction': 0.9991906074418586, 'bagging_freq': 10, 'min_data_in_leaf': 64, 'lambda_l1': 3.2350170923574835, 'lambda_l2': 0.06930098232283961, 'min_split_gain': 0.019729701724153816, 'min_child_weight': 0.023573543348960436}",0.6159133596283841,0.010734649161740386,24.93748927116394,0.6159133596283841
12,"{'n_estimators': 439, 'learning_rate': 0.095824921830228, 'num_leaves': 100, 'max_depth': 15, 'feature_fraction': 0.754773190691443, 'bagging_fraction': 0.9951611379672393, 'bagging_freq': 10, 'min_data_in_leaf': 61, 'lambda_l1': 3.259230285869373, 'lambda_l2': 0.3593661943278038, 'min_split_gain': 0.1385419322414126, 'min_child_weight': 0.0018036550496627847}",0.6071606363668679,0.01151955705942009,15.491647243499756,0.6071606363668679
13,"{'n_estimators': 368, 'learning_rate': 0.05844679641157763, 'num_leaves': 54, 'max_depth': 15, 'feature_fraction': 0.8230957540193208, 'bagging_fraction': 0.8509680548894735, 'bagging_freq': 10, 'min_data_in_leaf': 41, 'lambda_l1': 3.7645730005667897, 'lambda_l2': 3.8378237140149642, 'min_split_gain': 0.5795660494660648, 'min_child_weight': 0.01618709264491875}",0.5931251845625438,0.007280356014295858,17.80420446395874,0.5931251845625438
14,"{'n_estimators': 354, 'learning_rate': 0.06471442514770338, 'num_leaves': 57, 'max_depth': 13, 'feature_fraction': 0.6601240845577883, 'bagging_fraction': 0.9866239693719243, 'bagging_freq': 9, 'min_data_in_leaf': 66, 'lambda_l1': 4.596712817432014, 'lambda_l2': 0.025118127152891523, 'min_split_gain': 0.1703688081984176, 'min_child_weight': 0.008225551280965911}",0.6020649172063012,0.0062412305631230755,17.803577661514282,0.6020649172063012
15,"{'n_estimators': 494, 'learning_rate': 0.10593124391289863, 'num_leaves': 89, 'max_depth': 15, 'feature_fraction': 0.6750367856828356, 'bagging_fraction': 0.844491548452285, 'bagging_freq': 8, 'min_data_in_leaf': 43, 'lambda_l1': 1.8927033844247156, 'lambda_l2': 3.77091765582163, 'min_split_gain': 0.5736894675055922, 'min_child_weight': 0.10318856808906883}",0.6024691902633634,0.012358515071137041,13.243621587753296,0.6024691902633634
16,"{'n_estimators': 379, 'learning_rate': 0.039329741293562835, 'num_leaves': 60, 'max_depth': 10, 'feature_fraction': 0.8530839873602902, 'bagging_fraction': 0.6094623803975802, 'bagging_freq': 9, 'min_data_in_leaf': 73, 'lambda_l1': 4.962895061898324, 'lambda_l2': 3.520087271022311, 'min_split_gain': 0.16611646837590102, 'min_child_weight': 2.3266632131549154}",0.5893212341229414,0.010593265444212178,20.648374557495117,0.5893212341229414
17,"{'n_estimators': 497, 'learning_rate': 0.07824913384789674, 'num_leaves': 89, 'max_depth': 13, 'feature_fraction': 0.7533367260366861, 'bagging_fraction': 0.9181861006870612, 'bagging_freq': 9, 'min_data_in_leaf': 54, 'lambda_l1': 1.9221847249178117, 'lambda_l2': 0.9314742951193017, 'min_split_gain': 0.015021211625687259, 'min_child_weight': 0.005535749980309756}",0.6267639231023004,0.00994214481443326,27.86150622367859,0.6267639231023004
18,"{'n_estimators': 485, 'learning_rate': 0.28152594048765434, 'num_leaves': 88, 'max_depth': 13, 'feature_fraction': 0.7146530570203663, 'bagging_fraction': 0.8921162166023919, 'bagging_freq': 8, 'min_data_in_leaf': 5, 'lambda_l1': 1.7445740641759147, 'lambda_l2': 2.934349837224817, 'min_split_gain': 0.21732837138748162, 'min_child_weight': 0.0011379018988452096}",0.5985070205708306,0.015558538140388213,8.106040954589844,0.5985070205708306
19,"{'n_estimators': 440, 'learning_rate': 0.175560482705421, 'num_leaves': 45, 'max_depth': 13, 'feature_fraction': 0.6153335617559557, 'bagging_fraction': 0.7916081050963197, 'bagging_freq': 9, 'min_data_in_leaf': 52, 'lambda_l1': 2.3663971774888344, 'lambda_l2': 1.0926374223713413, 'min_split_gain': 0.46169555245416244, 'min_child_weight': 0.004466428771156028}",0.5998701244733552,0.012284495880633026,12.140827417373657,0.5998701244733552
20,"{'n_estimators': 500, 'learning_rate': 0.09657447347110021, 'num_leaves': 65, 'max_depth': 4, 'feature_fraction': 0.8888963443035315, 'bagging_fraction': 0.5905561460939723, 'bagging_freq': 8, 'min_data_in_leaf': 52, 'lambda_l1': 6.375050588583436, 'lambda_l2': 8.597022329559756, 'min_split_gain': 0.10338451302751461, 'min_child_weight': 0.11514996493865477}",0.5630947393579943,0.006946377439136703,10.70283031463623,0.5630947393579943
21,"{'n_estimators': 402, 'learning_rate': 0.07361868212619926, 'num_leaves': 93, 'max_depth': 14, 'feature_fraction': 0.7991321528878381, 'bagging_fraction': 0.936194098608013, 'bagging_freq': 10, 'min_data_in_leaf': 62, 'lambda_l1': 3.743775802611317, 'lambda_l2': 0.834629296439281, 'min_split_gain': 0.019472677640382522, 'min_child_weight': 0.024453391951817564}",0.6167204532290583,0.011990335464341516,21.68910551071167,0.6167204532290583
22,"{'n_estimators': 329, 'learning_rate': 0.045189605606916726, 'num_leaves': 90, 'max_depth': 13, 'feature_fraction': 0.7991047776555679, 'bagging_fraction': 0.9328535828589183, 'bagging_freq': 10, 'min_data_in_leaf': 73, 'lambda_l1': 4.229003853986537, 'lambda_l2': 0.9490252309696823, 'min_split_gain': 0.006134099998128398, 'min_child_weight': 0.00697691000770384}",0.6052588547716158,0.010568233704318598,21.11177158355713,0.6052588547716158
23,"{'n_estimators': 413, 'learning_rate': 0.07692365415312373, 'num_leaves': 84, 'max_depth': 11, 'feature_fraction': 0.728202705735817, 'bagging_fraction': 0.9355733617062291, 'bagging_freq': 9, 'min_data_in_leaf': 42, 'lambda_l1': 0.04466468677381874, 'lambda_l2': 0.8935372875347771, 'min_split_gain': 0.24364558394577165, 'min_child_weight': 0.021066190105340752}",0.6303709632128077,0.010462884039209443,18.443511724472046,0.6303709632128077
24,"{'n_estimators': 455, 'learning_rate': 0.12804787084950903, 'num_leaves': 83, 'max_depth': 11, 'feature_fraction': 0.7005304627704347, 'bagging_fraction': 0.8059835048248276, 'bagging_freq': 7, 'min_data_in_leaf': 41, 'lambda_l1': 0.007708721185102782, 'lambda_l2': 4.542216849011831, 'min_split_gain': 0.2294427930070675, 'min_child_weight': 0.003300947618488166}",0.6223999987977075,0.016451144874372926,15.916683673858643,0.6223999987977075
25,"{'n_estimators': 453, 'learning_rate': 0.11625639429460109, 'num_leaves': 80, 'max_depth': 8, 'feature_fraction': 0.7022130146300181, 'bagging_fraction': 0.7999482093302633, 'bagging_freq': 7, 'min_data_in_leaf': 34, 'lambda_l1': 0.07781069510264295, 'lambda_l2': 4.439084229082583, 'min_split_gain': 0.24977911015702678, 'min_child_weight': 0.0031309265079409398}",0.6223945814239368,0.012659933743817239,16.449509620666504,0.6223945814239368
26,"{'n_estimators': 465, 'learning_rate': 0.20703129139857207, 'num_leaves': 81, 'max_depth': 11, 'feature_fraction': 0.6352312801287255, 'bagging_fraction': 0.8371088157346457, 'bagging_freq': 6, 'min_data_in_leaf': 43, 'lambda_l1': 0.11969862513996478, 'lambda_l2': 5.079780680239647, 'min_split_gain': 0.3772248561432283, 'min_child_weight': 0.0011222087164805183}",0.6157342081899259,0.016047498419396383,9.261436462402344,0.6157342081899259
27,"{'n_estimators': 334, 'learning_rate': 0.12940490555921094, 'num_leaves': 64, 'max_depth': 11, 'feature_fraction': 0.7278545521116562, 'bagging_fraction': 0.8765550840196052, 'bagging_freq': 8, 'min_data_in_leaf': 29, 'lambda_l1': 1.5828558237748058, 'lambda_l2': 7.425937635456249, 'min_split_gain': 0.5332197293753146, 'min_child_weight': 0.004609411949768679}",0.6002232721195305,0.012425244436015025,8.578333854675293,0.6002232721195305
28,"{'n_estimators': 420, 'learning_rate': 0.05064121058457653, 'num_leaves': 69, 'max_depth': 9, 'feature_fraction': 0.572989229713236, 'bagging_fraction': 0.7581131778639351, 'bagging_freq': 9, 'min_data_in_leaf': 38, 'lambda_l1': 1.0875686628112833, 'lambda_l2': 2.8163037399284914, 'min_split_gain': 0.22401989332617223, 'min_child_weight': 0.011399790758374051}",0.6114235967773691,0.012276965843656732,17.728856325149536,0.6114235967773691
29,"{'n_estimators': 469, 'learning_rate': 0.21145998451935086, 'num_leaves': 80, 'max_depth': 10, 'feature_fraction': 0.5300170268990743, 'bagging_fraction': 0.6329247634742676, 'bagging_freq': 7, 'min_data_in_leaf': 23, 'lambda_l1': 2.4201940185681976, 'lambda_l2': 7.500878689285718, 'min_split_gain': 0.086516940619078, 'min_child_weight': 0.003133403876234244}",0.6038133181705049,0.016800506592773413,12.244965076446533,0.6038133181705049
30,"{'n_estimators': 321, 'learning_rate': 0.03366769804510912, 'num_leaves': 49, 'max_depth': 8, 'feature_fraction': 0.6702755463305045, 'bagging_fraction': 0.8987129296052391, 'bagging_freq': 5, 'min_data_in_leaf': 49, 'lambda_l1': 0.19784188916809242, 'lambda_l2': 1.7781806634586, 'min_split_gain': 0.45698114095736714, 'min_child_weight': 1.0946594128567575}",0.6013390656020213,0.007426090667067071,13.8435378074646,0.6013390656020213
31,"{'n_estimators': 452, 'learning_rate': 0.11967359120045096, 'num_leaves': 79, 'max_depth': 9, 'feature_fraction': 0.7042837756888118, 'bagging_fraction': 0.8074687302951864, 'bagging_freq': 7, 'min_data_in_leaf': 34, 'lambda_l1': 0.002878342797552433, 'lambda_l2': 4.873327144581594, 'min_split_gain': 0.24732429376969256, 'min_child_weight': 0.0030237689573071793}",0.6295156829090143,0.008587594342392793,15.746030330657959,0.6295156829090143
32,"{'n_estimators': 422, 'learning_rate': 0.09569927633431763, 'num_leaves': 84, 'max_depth': 12, 'feature_fraction': 0.7410626291510736, 'bagging_fraction': 0.8198292615738052, 'bagging_freq': 6, 'min_data_in_leaf': 47, 'lambda_l1': 1.0617825932739273, 'lambda_l2': 4.7076471987028246, 'min_split_gain': 0.2698018002515294, 'min_child_weight': 0.04384136101764819}",0.6174407415486142,0.018848332306282533,15.497452974319458,0.6174407415486142
33,"{'n_estimators': 462, 'learning_rate': 0.13305412290021323, 'num_leaves': 93, 'max_depth': 10, 'feature_fraction': 0.6268385763419742, 'bagging_fraction': 0.7481476703892525, 'bagging_freq': 8, 'min_data_in_leaf': 28, 'lambda_l1': 1.430641288565949, 'lambda_l2': 5.574701216639798, 'min_split_gain': 0.35041357827480024, 'min_child_weight': 72.14834651488356}",0.5545825626578303,0.013563560263381624,10.31862998008728,0.5545825626578303
34,"{'n_estimators': 413, 'learning_rate': 0.08547483569885853, 'num_leaves': 77, 'max_depth': 7, 'feature_fraction': 0.6953583373327852, 'bagging_fraction': 0.6741964511446396, 'bagging_freq': 7, 'min_data_in_leaf': 56, 'lambda_l1': 0.08440288682811944, 'lambda_l2': 8.525740351939694, 'min_split_gain': 0.1942283843453576, 'min_child_weight': 0.006066677726181928}",0.610014268326323,0.01589922194533961,14.048217296600342,0.610014268326323
35,"{'n_estimators': 479, 'learning_rate': 0.18322215967841934, 'num_leaves': 69, 'max_depth': 12, 'feature_fraction': 0.7548066985583669, 'bagging_fraction': 0.9174572101153884, 'bagging_freq': 9, 'min_data_in_leaf': 35, 'lambda_l1': 0.6620526359818283, 'lambda_l2': 2.3646277424269213, 'min_split_gain': 0.2844169408369051, 'min_child_weight': 0.0022375448570793456}",0.6180471743613384,0.011396826869184216,8.946013450622559,0.6180471743613384
36,"{'n_estimators': 438, 'learning_rate': 0.06309129411051301, 'num_leaves': 94, 'max_depth': 9, 'feature_fraction': 0.832798015872666, 'bagging_fraction': 0.9567499708366038, 'bagging_freq': 6, 'min_data_in_leaf': 12, 'lambda_l1': 2.150729286323129, 'lambda_l2': 4.192910582215445, 'min_split_gain': 0.11409943349094447, 'min_child_weight': 0.06024574321053414}",0.6151228087932213,0.013304753792946171,19.807928800582886,0.6151228087932213
